id,equipo_local,equipo_visitante,fecha,fase,resultado
1,México,Sudáfrica,2026-06-11,grupos,
2,Corea del Sur,Chequia,2026-06-11,grupos,
3,Canadá,Bosnia y Herzegovina,2026-06-12,grupos,
4,Estados Unidos,Paraguay,2026-06-12,grupos,
5,Catar,Suiza,2026-06-13,grupos,
6,Brasil,Marruecos,2026-06-13,grupos,
7,Haití,Escocia,2026-06-13,grupos,
8,Australia,Turquía,2026-06-14,grupos,
9,Alemania,Curazao,2026-06-14,grupos,
10,Países Bajos,Japón,2026-06-14,grupos,
11,Costa de Marfil,Ecuador,2026-06-14,grupos,
12,Suecia,Túnez,2026-06-14,grupos,
13,España,Cabo Verde,2026-06-15,grupos,
14,Bélgica,Egipto,2026-06-15,grupos,
15,Arabia Saudita,Uruguay,2026-06-15,grupos,
16,Irán,Nueva Zelanda,2026-06-15,grupos,
17,Francia,Senegal,2026-06-16,grupos,
18,Irak,Noruega,2026-06-16,grupos,
19,Argentina,Argelia,2026-06-16,grupos,
20,Austria,Jordania,2026-06-17,grupos,
21,Portugal,República Democrática del Congo,2026-06-17,grupos,
22,Inglaterra,Croacia,2026-06-17,grupos,
23,Ghana,Panamá,2026-06-17,grupos,
24,Uzbekistán,Colombia,2026-06-17,grupos,
25,Chequia,Sudáfrica,2026-06-18,grupos,
26,Suiza,Bosnia y Herzegovina,2026-06-18,grupos,
27,Canadá,Catar,2026-06-18,grupos,
28,México,Corea del Sur,2026-06-18,grupos,
29,Estados Unidos,Australia,2026-06-19,grupos,
30,Escocia,Marruecos,2026-06-19,grupos,
31,Brasil,Haití,2026-06-19,grupos,
32,Turquía,Paraguay,2026-06-20,grupos,
33,Países Bajos,Suecia,2026-06-20,grupos,
34,Alemania,Costa de Marfil,2026-06-20,grupos,
35,Ecuador,Curazao,2026-06-20,grupos,
36,Túnez,Japón,2026-06-21,grupos,
37,España,Arabia Saudita,2026-06-21,grupos,
38,Bélgica,Irán,2026-06-21,grupos,
39,Uruguay,Cabo Verde,2026-06-21,grupos,
40,Nueva Zelanda,Egipto,2026-06-21,grupos,
41,Argentina,Austria,2026-06-22,grupos,
42,Francia,Irak,2026-06-22,grupos,
43,Noruega,Senegal,2026-06-22,grupos,
44,Jordania,Argelia,2026-06-23,grupos,
45,Portugal,Uzbekistán,2026-06-23,grupos,
46,Inglaterra,Ghana,2026-06-23,grupos,
47,Panamá,Croacia,2026-06-23,grupos,
48,Colombia,República Democrática del Congo,2026-06-23,grupos,
49,Suiza,Canadá,2026-06-24,grupos,
50,Bosnia y Herzegovina,Catar,2026-06-24,grupos,
51,Marruecos,Haití,2026-06-24,grupos,
52,Escocia,Brasil,2026-06-24,grupos,
53,Sudáfrica,Corea del Sur,2026-06-24,grupos,
54,Chequia,México,2026-06-24,grupos,
55,Curazao,Costa de Marfil,2026-06-25,grupos,
56,Ecuador,Alemania,2026-06-25,grupos,
57,Túnez,Países Bajos,2026-06-25,grupos,
58,Japón,Suecia,2026-06-25,grupos,
59,Turquía,Estados Unidos,2026-06-25,grupos,
60,Paraguay,Australia,2026-06-25,grupos,
61,Noruega,Francia,2026-06-26,grupos,
62,Senegal,Irak,2026-06-26,grupos,
63,Cabo Verde,Arabia Saudita,2026-06-26,grupos,
64,Uruguay,España,2026-06-26,grupos,
65,Nueva Zelanda,Bélgica,2026-06-27,grupos,
66,Egipto,Irán,2026-06-27,grupos,
67,Panamá,Inglaterra,2026-06-27,grupos,
68,Croacia,Ghana,2026-06-27,grupos,
69,Colombia,Portugal,2026-06-27,grupos,
70,República Democrática del Congo,Uzbekistán,2026-06-27,grupos,
71,Argelia,Austria,2026-06-27,grupos,
72,Jordania,Argentina,2026-06-27,grupos,